ID,WINNER_CLUSTER,LOSER_CLUSTER,WINNER_TEAM,LOSER_TEAM,GAMEDAY,SEASON
344841,0,0,Butler,Marquette,2016-03-05,2016
344854,0,0,Dayton,VCU,2016-03-05,2016
344866,0,0,Georgia Tech,Pittsburgh,2016-03-05,2016
344816,0,0,Michigan St.,Ohio St.,2016-03-05,2016
344817,0,0,North Carolina,Duke,2016-03-05,2016
344819,0,0,Oregon,USC,2016-03-05,2016
344827,0,0,Texas A&M,Vanderbilt,2016-03-05,2016
344826,0,0,Utah,Colorado,2016-03-05,2016
344818,0,0,Virginia,Louisville,2016-03-05,2016
552568,0,0,Virginia Tech,Miami FL,2016-03-05,2016
344822,0,0,West Virginia,Baylor,2016-03-05,2016
344823,0,0,Xavier,Creighton,2016-03-05,2016
344840,0,1,BYU,Santa Clara,2016-03-05,2016
344839,0,1,Clemson,Boston College,2016-03-05,2016
344867,0,1,Gonzaga,Portland,2016-03-05,2016
344894,0,1,Old Dominion,Rice,2016-03-05,2016
552571,0,1,Saint Mary's,Loyola Marymount,2016-03-05,2016
344902,0,1,South Dakota St.,Oral Roberts,2016-03-05,2016
344898,0,1,Stephen F. Austin,Sam Houston St.,2016-03-05,2016
344831,0,2,Iowa,Michigan,2016-03-05,2016
344815,0,2,Kansas,Iowa St.,2016-03-05,2016
344824,0,2,Kentucky,LSU,2016-03-05,2016
344850,0,2,Yale,Columbia,2016-03-05,2016
344847,0,3,Chattanooga,Samford,2016-03-05,2016
552573,0,3,Providence,St. John's,2016-03-05,2016
344912,0,3,Tulsa,South Florida,2016-03-05,2016
344828,0,4,Arizona,Stanford,2016-03-05,2016
344830,0,4,California,Arizona St.,2016-03-05,2016
344858,0,4,Evansville,Indiana St.,2016-03-05,2016
344883,0,4,Florida,Missouri,2016-03-05,2016
344891,0,4,Notre Dame,North Carolina St.,2016-03-05,2016
344821,0,4,Oklahoma,TCU,2016-03-05,2016
344899,0,4,San Diego St.,UNLV,2016-03-05,2016
344829,0,4,Seton Hall,DePaul,2016-03-05,2016
344837,0,4,South Carolina,Arkansas,2016-03-05,2016
344910,0,4,Texas Tech,Kansas St.,2016-03-05,2016
344844,0,4,UC Irvine,UC Riverside,2016-03-05,2016
344820,0,4,Villanova,Georgetown,2016-03-05,2016
344851,1,1,Cornell,Brown,2016-03-05,2016
344855,1,1,Detroit,Youngstown St.,2016-03-05,2016
344873,1,1,Incarnate Word,Houston Baptist,2016-03-05,2016
344846,1,1,McNeese St.,Central Arkansas,2016-03-05,2016
344885,1,1,Montana St.,North Dakota,2016-03-05,2016
344890,1,1,North Texas,Charlotte,2016-03-05,2016
344893,1,1,Portland St.,Southern Utah,2016-03-05,2016
344895,1,1,Rutgers,Minnesota,2016-03-05,2016
344896,1,1,Sacramento St.,Northern Arizona,2016-03-05,2016
344880,1,1,UMass Lowell,La Salle,2016-03-05,2016
344905,1,2,Austin Peay,Tennessee Martin,2016-03-05,2016
344884,1,2,Northern Colorado,Montana,2016-03-05,2016
552569,1,3,Fairleigh Dickinson,Mount St. Mary's,2016-03-05,2016
344853,2,0,Davidson,George Washington,2016-03-05,2016
552570,2,0,Duquesne,Saint Joseph's,2016-03-05,2016
344861,2,0,Florida St.,Syracuse,2016-03-05,2016
344918,2,0,Northern Iowa,Wichita St.,2016-03-05,2016
344875,2,0,William & Mary,James Madison,2016-03-05,2016
344849,2,1,Colorado St.,Air Force,2016-03-05,2016
344874,2,1,IPFW,South Dakota,2016-03-05,2016
344879,2,1,Marshall,Southern Miss,2016-03-05,2016
344881,2,1,Milwaukee,Northern Kentucky,2016-03-05,2016
344907,2,1,UTEP,UTSA,2016-03-05,2016
344857,2,2,Weber St.,Eastern Washington,2016-03-05,2016
344871,2,3,Hofstra,Drexel,2016-03-05,2016
344882,2,3,Mississippi St.,Auburn,2016-03-05,2016
344852,2,3,Princeton,Dartmouth,2016-03-05,2016
344897,2,3,St. Bonaventure,Saint Louis,2016-03-05,2016
344835,2,3,Texas Southern,Alcorn St.,2016-03-05,2016
344859,2,3,UAB,Florida Atlantic,2016-03-05,2016
344919,2,3,Winthrop,Gardner Webb,2016-03-05,2016
344921,2,3,Wright St.,Illinois Chicago,2016-03-05,2016
344856,2,4,East Tennessee St.,Mercer,2016-03-05,2016
552572,2,4,Fairfield,Saint Peter's,2016-03-05,2016
344860,2,4,Middle Tennessee,FIU,2016-03-05,2016
344911,2,4,Northeastern,Towson,2016-03-05,2016
344917,2,4,Western Kentucky,Louisiana Tech,2016-03-05,2016
344887,3,1,New Orleans,Northwestern St.,2016-03-05,2016
344888,3,1,Nicholls St.,Southeastern Louisiana,2016-03-05,2016
344920,3,1,Western Carolina,Wofford,2016-03-05,2016
